@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 4\nSize of the tree: 7\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

is_long_parameters_list,4,5,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,80,4,0,95.238095,4.761905,0,0.892857,0.082235,0.200403,18.571651,42.509617,77.143513,17.634541,59.508973,0.918375,0.209935,0.70844,63.956702,0.761389,7002.923494,0.964286,54,0.071429,2,0.928571,26,0.035714,2,0.964286,0.964286,0.964286,0.892857,0.976403,0.977561,0.952381,0.059524,0.940476,0.047619,0.952381,0.952381,0.952381,0.892857,0.976403,0.973239,0.946429,0.952381,0.008,0.001,0,0,0,0,48354,221972,89672,98.809524,55.357143,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,5,1,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,78,6,0,92.857143,7.142857,0,0.842105,0.102159,0.232463,23.071179,49.310195,77.143513,2160.980969,-2083.837456,0.918375,25.725964,-24.807589,60.178206,0.716407,6589.197971,0.928571,52,0.071429,2,0.928571,26,0.071429,4,0.962963,0.928571,0.945455,0.843274,0.924107,0.938228,0.928571,0.071429,0.928571,0.071429,0.930864,0.928571,0.929154,0.843274,0.924107,0.935009,0.921003,0.928571,0.008,0,0,0,0,0,48354,221972,89672,97.619048,55.357143,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,5,2,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,80,4,0,95.238095,4.761905,0,0.890909,0.08092,0.210105,18.274666,44.567457,77.143513,21.343336,55.800177,0.918375,0.254087,0.664288,64.070561,0.762745,7015.390414,0.982143,55,0.107143,3,0.892857,25,0.017857,1,0.948276,0.982143,0.964912,0.892237,0.940689,0.943982,0.952381,0.077381,0.922619,0.047619,0.952697,0.952381,0.951917,0.892237,0.940689,0.937472,0.945419,0.952381,0.01,0,0.015625,0,15.625,0,48354,221972,89672,96.428571,54.761905,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,5,3,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,80,4,0,95.238095,4.761905,0,0.892857,0.090192,0.205505,20.368446,43.591728,77.143513,19.493555,57.649958,0.918375,0.232066,0.686309,62.689688,0.746306,6864.192131,0.964286,54,0.071429,2,0.928571,26,0.035714,2,0.964286,0.964286,0.964286,0.892857,0.957908,0.959869,0.952381,0.059524,0.940476,0.047619,0.952381,0.952381,0.952381,0.892857,0.957908,0.952271,0.946429,0.952381,0.011,0,0.015625,0,15.625,0,48354,221972,89672,97.619048,55.952381,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,5,4,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,78,6,0,92.857143,7.142857,0,0.833002,0.09955,0.235409,22.636701,50.394688,76.125089,22.361909,53.76318,0.906251,0.266213,0.640038,59.576746,0.709247,6501.805442,0.964912,55,0.148148,4,0.851852,23,0.035088,2,0.932203,0.964912,0.948276,0.834296,0.971085,0.975381,0.928571,0.111807,0.888193,0.071429,0.928281,0.928571,0.927814,0.834296,0.971085,0.966599,0.916446,0.928571,0.012,0,0.015625,0,15.625,0,48354,221972,89672,98.809524,56.547619,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,5,5,weka.classifiers.trees.J48,'-S -C 0.28 -M 15',-217733168393644444,20170629.0627,336,84,77,7,0,91.666667,8.333333,0,0.803213,0.111641,0.271578,25.386056,58.137596,76.125089,32.630403,43.494686,0.906251,0.388457,0.517794,57.196346,0.680909,6242.024613,0.964912,55,0.185185,5,0.814815,22,0.035088,2,0.916667,0.964912,0.940171,0.806085,0.911631,0.923007,0.916667,0.13694,0.86306,0.083333,0.916667,0.916667,0.915284,0.806085,0.911631,0.911378,0.901458,0.916667,0.01,0,0,0,0,0,48354,221972,89672,95.238095,55.952381,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
is_long_parameters_list,1,1,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 1.0E-4 -R 0.0 -N 0.0394 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9\" -seed 1',14172,20170629.0627,336,84,65,19,0,77.380952,22.619048,0,0.378505,0.22619,0.475595,51.433606,101.811993,76.125089,20406,-20329.874911,0.906251,242.928571,-242.02232,34.814814,0.414462,3799.454712,0.982456,56,0.666667,18,0.333333,9,0.017544,1,0.756757,0.982456,0.854962,0.455408,0.657895,0.755385,0.77381,0.45802,0.54198,0.22619,0.802799,0.77381,0.736523,0.455408,0.657895,0.677889,0.670724,0.77381,0.219,0.045,0.21875,0.046875,218.75,46.875,383077,221972,89672,77.380952,50,?,?,?,?
is_long_parameters_list,1,2,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 1.0E-4 -R 0.0 -N 0.0394 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9\" -seed 1',14172,20170629.0627,336,84,62,22,0,73.809524,26.190476,0,0.320088,0.261905,0.511766,59.554701,109.555322,76.125089,23628,-23551.874911,0.906251,281.285714,-280.379463,28.292139,0.336811,3087.613826,0.912281,52,0.62963,17,0.37037,10,0.087719,5,0.753623,0.912281,0.825397,0.344667,0.641326,0.74704,0.738095,0.455444,0.544556,0.261905,0.725673,0.738095,0.713152,0.344667,0.641326,0.651336,0.650794,0.738095,0.115,0.082,0.109375,0.078125,109.375,78.125,388879,221972,89672,73.809524,50,?,?,?,?
is_long_parameters_list,1,3,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 1.0E-4 -R 0.0 -N 0.0394 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9\" -seed 1',14172,20170629.0627,336,84,60,24,0,71.428571,28.571429,0,0.28,0.285714,0.534522,64.52434,113.383139,77.143513,25776,-25698.856487,0.918375,306.857143,-305.938768,24.804445,0.295291,2715.956621,0.892857,50,0.642857,18,0.357143,10,0.107143,6,0.735294,0.892857,0.806452,0.300123,0.625,0.727941,0.714286,0.464286,0.535714,0.285714,0.698529,0.714286,0.68915,0.300123,0.625,0.631127,0.630499,0.714286,0.104,0.018,0.09375,0.015625,93.75,15.625,392013,221972,89672,71.428571,50,?,?,?,?
is_long_parameters_list,1,4,weka.classifiers.functions.LibSVM,'-S 1 -K 2 -D 3 -G 1.0E-4 -R 0.0 -N 0.0394 -M 40.0 -C 1.0 -E 0.001 -P 0.1 -model \"C:\\\\Program Files\\\\Weka-3-9\" -seed 1',14172,20170629.0627,336,84,68,16,0,80.952381,19.047619,0,0.510204,0.190476,0.436436,43.016227,92.576945,77.143513,17184,-17106.856487,0.918375,204.571429,-203.653053,42.250801,0.502986,4626.241135,0.982143,55,0.535714,15,0.464286,13,0.017857,1,0.785714,0.982143,0.873016,0.564692,0.723214,0.783588,0.809524,0.363095,0.636905,0.190476,0.833333,0.809524,0.78836,0.564692,0.723214,0.725624,0.746032,0.809524,0.078,0.019,0.078125,0.015625,78.125,15.625,393017,221972,89672,80.952381,50,?,?,?,?
