@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 7\nSize of the tree: 13\n'}
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

data-class,3,6,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,39,3,0,92.857143,7.142857,0,0.830189,0.073574,0.267297,16.54317,56.702241,38.56853,3222.130562,-3183.562032,0.918298,76.717394,-75.799096,31.933869,0.76033,3474.205101,1,28,0.214286,3,0.785714,11,0,0,0.903226,1,0.949153,0.842424,0.892857,0.903226,0.928571,0.142857,0.857143,0.071429,0.935484,0.928571,0.926102,0.842424,0.892857,0.887865,0.914576,0.928571,0.024,0,0.03,0,30,0,41828,246205,59053,92.857143,50,?,3,?,?
data-class,3,7,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,39,3,0,92.857143,7.142857,0,0.836364,0.084796,0.264338,19.066663,56.074365,38.56853,1086.23134,-1047.66281,0.918298,25.862651,-24.944353,31.246148,0.743956,3399.385322,0.964286,27,0.142857,2,0.857143,12,0.035714,1,0.931034,0.964286,0.947368,0.837611,0.906888,0.921593,0.928571,0.107143,0.892857,0.071429,0.928382,0.928571,0.927875,0.837611,0.906888,0.889059,0.918129,0.928571,0.039,0,0.04,0,40,0,41759,246205,59053,92.857143,50,?,3,?,?
data-class,3,8,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,41,1,0,97.619048,2.380952,0,0.947368,0.033854,0.154811,7.612179,32.840333,38.56853,1074.613442,-1036.044912,0.918298,25.586034,-24.667736,35.787055,0.852073,3893.407549,0.964286,27,0,0,1,14,0.035714,1,1,0.964286,0.981818,0.948683,0.982143,0.988095,0.97619,0.011905,0.988095,0.02381,0.977778,0.97619,0.976385,0.948683,0.982143,0.969841,0.973668,0.97619,0.036,0,0.03,0,30,0,41759,246205,59053,97.619048,50,?,3,?,?
data-class,3,9,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,40,2,0,95.238095,4.761905,0,0.888889,0.054997,0.216639,12.366229,45.955973,38.56853,14.437788,24.130742,0.918298,0.343757,0.574541,33.783563,0.804371,3675.440175,1,28,0.142857,2,0.857143,12,0,0,0.933333,1,0.965517,0.894427,0.928571,0.933333,0.952381,0.095238,0.904762,0.047619,0.955556,0.952381,0.95137,0.894427,0.928571,0.92381,0.944297,0.952381,0.029,0,0.03,0,30,0,41760,246205,59053,95.238095,50,?,3,?,?
data-class,3,10,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,41,1,0,97.619048,2.380952,0,0.945455,0.02635,0.153727,5.924956,32.610436,38.56853,8.142976,30.425554,0.918298,0.19388,0.724418,36.246228,0.863005,3943.36275,1,28,0.071429,1,0.928571,13,0,0,0.965517,1,0.982456,0.946864,0.964286,0.965517,0.97619,0.047619,0.952381,0.02381,0.977011,0.97619,0.975958,0.946864,0.964286,0.961138,0.97271,0.97619,0.024,0,0.02,0,20,0,41828,246205,59053,97.619048,50,?,3,?,?
data-class,4,1,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,42,0,0,100,0,0,1,0.012441,0.03326,2.797489,7.055504,38.56853,0.79105,37.77748,0.918298,0.018835,0.899464,37.77748,0.899464,4109.953356,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.025,0,0.02,0,20,0,41759,246205,59053,100,52.380952,?,3,?,?
data-class,4,2,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,42,0,0,100,0,0,1,0.010255,0.010707,2.305851,2.271347,38.56853,0.624881,37.943649,0.918298,0.014878,0.90342,37.943649,0.90342,4128.03148,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.024,0.001,0.02,0,20,0,41760,246205,59053,100,50,?,3,?,?
data-class,4,3,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,40,2,0,95.238095,4.761905,0,0.896552,0.050314,0.186667,11.313312,39.597929,38.56853,5.954889,32.613641,0.918298,0.141783,0.776515,34.068365,0.811152,3706.424822,0.928571,26,0,0,1,14,0.071429,2,1,0.928571,0.962963,0.901388,0.994898,0.995238,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.953086,0.901388,0.994898,0.990873,0.948148,0.952381,0.023,0,0.03,0,30,0,41758,246205,59053,100,54.761905,?,3,?,?
data-class,4,4,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,40,2,0,95.238095,4.761905,0,0.888889,0.054658,0.216634,12.289899,45.954857,38.56853,14.417149,24.151381,0.918298,0.343265,0.575033,33.804202,0.804862,3677.68556,1,28,0.142857,2,0.857143,12,0,0,0.933333,1,0.965517,0.894427,0.928571,0.933333,0.952381,0.095238,0.904762,0.047619,0.955556,0.952381,0.95137,0.894427,0.928571,0.92381,0.944297,0.952381,0.029,0.001,0.03,0,30,0,41829,246205,59053,95.238095,50,?,3,?,?
data-class,4,5,weka.classifiers.rules.JRip,'-F 3 -N 2.0 -O 2 -S 1',-6589312996832147161,20171002.1558,378,42,42,0,0,100,0,0,1,0.013067,0.029474,2.938182,6.252464,38.56853,0.819685,37.748845,0.918298,0.019516,0.898782,37.748845,0.898782,4106.83807,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.02,0,0.02,0,20,0,41759,246205,59053,100,54.761905,?,3,?,?
