@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

is_switch_statements,4,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,68,16,0,80.952381,19.047619,0,0.581047,0.200338,0.423589,46.946053,91.626323,74.981286,557.998402,-483.017116,0.892634,6.642838,-5.750204,37.987902,0.452237,4265.947066,0.810345,47,0.192308,5,0.807692,21,0.189655,11,0.903846,0.810345,0.854545,0.588354,0.887268,0.920832,0.809524,0.191487,0.808513,0.190476,0.827209,0.809524,0.814181,0.588354,0.891168,0.899591,0.789342,0.809524,0.003,0.005,0,0.015625,0,15.625,62089,215927,83627,84.52381,56.547619,?,?
is_switch_statements,5,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,69,15,0,82.142857,17.857143,0,0.587156,0.182189,0.415768,43.034169,90.89874,73.830752,368.55949,-294.728738,0.878938,4.387613,-3.508675,39.986464,0.476029,4473.142282,0.847458,50,0.24,6,0.76,19,0.152542,9,0.892857,0.847458,0.869565,0.589168,0.892881,0.934543,0.821429,0.213971,0.786029,0.178571,0.829082,0.821429,0.824153,0.589168,0.892074,0.902523,0.793273,0.821429,0.004,0.005,0.015625,0,15.625,0,62089,215927,83627,83.333333,52.380952,?,?
is_switch_statements,5,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,67,17,0,79.761905,20.238095,0,0.57601,0.194354,0.429494,45.543992,92.903481,74.981286,751.508647,-676.527361,0.892634,8.946532,-8.053897,38.261936,0.455499,4296.720379,0.758621,44,0.115385,3,0.884615,23,0.241379,14,0.93617,0.758621,0.838095,0.598992,0.889257,0.937562,0.797619,0.154383,0.845617,0.202381,0.83881,0.797619,0.804686,0.598992,0.888026,0.874938,0.784127,0.797619,0.004,0.005,0.015625,0,15.625,0,62089,215927,83627,83.333333,52.97619,?,?
is_switch_statements,5,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,64,20,0,76.190476,23.809524,0,0.486553,0.239722,0.476591,56.175113,103.091052,74.981286,838.969883,-763.988597,0.892634,9.987737,-9.095102,29.730205,0.353931,3338.628196,0.758621,44,0.230769,6,0.769231,20,0.241379,14,0.88,0.758621,0.814815,0.497151,0.830239,0.904353,0.761905,0.234053,0.765947,0.238095,0.789692,0.761905,0.768959,0.497151,0.830239,0.81805,0.740741,0.761905,0.005,0.006,0.015625,0,15.625,0,62089,215927,83627,80.952381,53.571429,?,?
is_switch_statements,5,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,71,13,0,84.52381,15.47619,0,0.669492,0.168523,0.38189,39.49081,82.606332,74.981286,657.353056,-582.371769,0.892634,7.825632,-6.932997,43.154449,0.513743,4846.137503,0.810345,47,0.076923,2,0.923077,24,0.189655,11,0.959184,0.810345,0.878505,0.687737,0.925066,0.969775,0.845238,0.111816,0.888184,0.154762,0.874538,0.845238,0.850146,0.687737,0.924245,0.907279,0.832695,0.845238,0.004,0.005,0,0,0,0,62089,215927,83627,89.285714,55.357143,?,?
is_switch_statements,5,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20170629.0816,336,84,73,11,0,86.904762,13.095238,0,0.709068,0.134086,0.352365,31.421063,76.219876,74.981286,608.23339,-533.252104,0.892634,7.240874,-6.348239,49.916175,0.59424,5605.462538,0.862069,50,0.115385,3,0.884615,23,0.137931,8,0.943396,0.862069,0.900901,0.715351,0.932361,0.969096,0.869048,0.122363,0.877637,0.130952,0.881039,0.869048,0.871842,0.715351,0.932669,0.930357,0.853959,0.869048,0.004,0.005,0,0,0,0,62089,215927,83627,89.285714,52.97619,?,?
is_switch_statements,1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 7 -M 1.0 -V 0.001 -S 1 -depth 3',1116839470751428698,20170629.0816,336,84,71,13,0,84.52381,15.47619,0,0.616573,0.290856,0.348774,68.702006,76.251957,73.830752,47.740395,26.090357,0.878938,0.568338,0.310599,25.159272,0.299515,2814.477464,0.915254,54,0.32,8,0.68,17,0.084746,5,0.870968,0.915254,0.892562,0.619001,0.909831,0.959691,0.845238,0.249984,0.750016,0.154762,0.84173,0.845238,0.842217,0.619001,0.909831,0.929667,0.807983,0.845238,0.276,0.01,0.28125,0.015625,281.25,15.625,2605102,215927,83627,100,100,?,-1
is_switch_statements,1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 7 -M 1.0 -V 0.001 -S 1 -depth 3',1116839470751428698,20170629.0816,336,84,72,12,0,85.714286,14.285714,0,0.672727,0.287002,0.333529,67.254451,72.145419,74.981286,44.982225,29.999061,0.892634,0.535503,0.357132,27.544917,0.327916,3093.22577,0.87931,51,0.192308,5,0.807692,21,0.12069,7,0.910714,0.87931,0.894737,0.67373,0.945623,0.976095,0.857143,0.17014,0.82986,0.142857,0.860969,0.857143,0.858535,0.67373,0.945623,0.951887,0.836257,0.857143,0.216,0.007,0.21875,0,218.75,0,2857412,215927,83627,100,99.404762,?,-1
is_switch_statements,1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 7 -M 1.0 -V 0.001 -S 1 -depth 3',1116839470751428698,20170629.0816,336,84,71,13,0,84.52381,15.47619,0,0.608883,0.271701,0.330945,63.66908,71.586506,74.981286,43.40009,31.581197,0.892634,0.516668,0.375967,29.930011,0.35631,3361.065971,0.948276,55,0.384615,10,0.615385,16,0.051724,3,0.846154,0.948276,0.894309,0.622852,0.946286,0.977935,0.845238,0.281578,0.718422,0.154762,0.844901,0.845238,0.837605,0.622852,0.946286,0.946651,0.80271,0.845238,0.175,0.007,0.171875,0.015625,171.875,15.625,3074310,215927,83627,100,98.214286,?,-1
is_switch_statements,1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 7 -M 1.0 -V 0.001 -S 1 -depth 3',1116839470751428698,20170629.0816,336,84,73,11,0,86.904762,13.095238,0,0.669054,0.27158,0.32057,63.640697,69.342186,74.981286,42.401993,32.579293,0.892634,0.504786,0.387849,30.851454,0.367279,3464.541653,0.965517,56,0.346154,9,0.653846,17,0.034483,2,0.861538,0.965517,0.910569,0.684404,0.963528,0.98459,0.869048,0.249684,0.750316,0.130952,0.871814,0.869048,0.862589,0.684404,0.963528,0.965014,0.833062,0.869048,0.091,0.005,0.09375,0,93.75,0,3001202,215927,83627,100,98.809524,?,-1
