@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 7\nSize of the tree: 13\n'}
@attribute measureOutOfBagError numeric
@attribute measureNumRules numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric

@data

feature-envy,2,10,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,42,0,0,100,0,0,1,0.037251,0.085667,8.375941,18.172609,38.56853,2.526955,36.041575,0.918298,0.060166,0.858133,36.041575,0.858133,3921.097763,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.426,0,0.125,0,125,0,78197,328240,81952,100,59.52381,?,-1,?,?,?
feature-envy,3,1,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,41,1,0,97.619048,2.380952,0,0.947368,0.054287,0.162712,12.206625,34.516404,38.56853,5.466669,33.10186,0.918298,0.130159,0.78814,34.185717,0.813946,3719.191988,0.964286,27,0,0,1,14,0.035714,1,1,0.964286,0.981818,0.948683,0.997449,0.998768,0.97619,0.011905,0.988095,0.02381,0.977778,0.97619,0.976385,0.948683,0.997449,0.997592,0.973668,0.97619,0.368,0,0.09375,0,93.75,0,78561,328240,81952,100,59.52381,?,-1,?,?,?
feature-envy,3,2,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,39,3,0,92.857143,7.142857,0,0.847458,0.06629,0.21027,14.905338,44.60482,38.56853,7.647186,30.921344,0.918298,0.182076,0.736222,32.529869,0.774521,3539.046128,0.892857,25,0,0,1,14,0.107143,3,1,0.892857,0.943396,0.857493,0.994898,0.997493,0.928571,0.035714,0.964286,0.071429,0.941176,0.928571,0.930006,0.857493,0.994898,0.995352,0.923311,0.928571,0.26,0,0.140625,0,140.625,0,75649,328240,81952,100,55.952381,?,-1,?,?,?
feature-envy,3,3,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,39,3,0,92.857143,7.142857,0,0.836364,0.060481,0.205274,13.599206,43.545132,38.56853,9.276971,29.291559,0.918298,0.22088,0.697418,33.164068,0.789621,3608.042992,0.964286,27,0.142857,2,0.857143,12,0.035714,1,0.931034,0.964286,0.947368,0.837611,0.989796,0.995536,0.928571,0.107143,0.892857,0.071429,0.928382,0.928571,0.927875,0.837611,0.989796,0.98992,0.918129,0.928571,0.308,0.002,0.140625,0,140.625,0,77469,328240,81952,97.619048,54.761905,?,-1,?,?,?
feature-envy,3,4,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,42,0,0,100,0,0,1,0.031255,0.084429,7.027768,17.910165,38.56853,2.15817,36.41036,0.918298,0.051385,0.866913,36.41036,0.866913,3961.219278,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.323,0.001,0.125,0,125,0,79653,328240,81952,100,55.952381,?,-1,?,?,?
feature-envy,3,5,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,39,3,0,92.857143,7.142857,0,0.847458,0.114719,0.269345,25.794775,57.136613,38.56853,17.083373,21.485157,0.918298,0.406747,0.511551,28.342703,0.674826,3083.508622,0.892857,25,0,0,1,14,0.107143,3,1,0.892857,0.943396,0.857493,0.959184,0.981192,0.928571,0.035714,0.964286,0.071429,0.941176,0.928571,0.930006,0.857493,0.959184,0.945508,0.923311,0.928571,0.296,0.001,0.109375,0,109.375,0,76377,328240,81952,97.619048,61.904762,?,-1,?,?,?
feature-envy,3,6,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,42,0,0,100,0,0,1,0.048274,0.12685,10.85458,26.908872,38.56853,3.614769,34.953761,0.918298,0.086066,0.832232,34.953761,0.832232,3802.750402,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.289,0,0.125,0,125,0,77833,328240,81952,100,58.333333,?,-1,?,?,?
feature-envy,3,7,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,40,2,0,95.238095,4.761905,0,0.896552,0.040901,0.132558,9.196616,28.119829,38.56853,3.387549,35.180981,0.918298,0.080656,0.837642,34.946098,0.83205,3801.916718,0.928571,26,0,0,1,14,0.071429,2,1,0.928571,0.962963,0.901388,1,1,0.952381,0.02381,0.97619,0.047619,0.958333,0.952381,0.953086,0.901388,1,1,0.948148,0.952381,0.291,0,0.140625,0,140.625,0,74193,328240,81952,100,54.761905,?,-1,?,?,?
feature-envy,3,8,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,42,0,0,100,0,0,1,0.020328,0.068884,4.570802,14.61248,38.56853,1.428172,37.140358,0.918298,0.034004,0.884294,37.140358,0.884294,4040.638455,1,28,0,0,1,14,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.248,0,0.09375,0,93.75,0,76741,328240,81952,100,53.571429,?,-1,?,?,?
feature-envy,3,9,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,38,4,0,90.47619,9.52381,0,0.793103,0.111681,0.279539,25.111673,59.299068,38.56853,21.545508,17.023022,0.918298,0.512988,0.40531,28.848541,0.68687,3138.540731,0.892857,25,0.071429,1,0.928571,13,0.107143,3,0.961538,0.892857,0.925926,0.797382,0.9375,0.949178,0.904762,0.083333,0.916667,0.095238,0.911859,0.904762,0.906173,0.797382,0.9375,0.936031,0.896296,0.904762,0.248,0,0.125,0,125,0,78197,328240,81952,95.238095,61.904762,?,-1,?,?,?
feature-envy,3,10,weka.classifiers.meta.Bagging,'-P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2',-115879962237199703,20170707.1553,378,42,41,1,0,97.619048,2.380952,0,0.945455,0.044422,0.154579,9.988338,32.791169,38.56853,4.87208,33.69645,0.918298,0.116002,0.802296,34.970013,0.832619,3804.518528,1,28,0.071429,1,0.928571,13,0,0,0.965517,1,0.982456,0.946864,0.997449,0.997537,0.97619,0.047619,0.952381,0.02381,0.977011,0.97619,0.975958,0.946864,0.997449,0.995382,0.97271,0.97619,0.254,0.001,0.125,0,125,0,78561,328240,81952,100,55.952381,?,-1,?,?,?
